Feature,Mean_VIP_Score
Myristamide_Block2,2.990106647270119
Linoleamide_Block1,2.5998575746696106
L-Cystine_Block2,2.045844194423579
Palmitic Acid_Block1,1.9805696512695428
Oleic Acid_Block1,1.8811239626704228
5-Hydroxy-DL-tryptophan_Block1,1.8577865246860736
L-Cysteinylglycine disulfide_Block2,1.7697200823193966
DL-Lactic Acid_Block1,1.7299699742775658
4-Hydroxybutyric acid (GHB)_Block1,1.7125019594017323
Cysteine-glutathione disulfide_Block2,1.6822483771961003
glu-ser_Block2,1.6718326518962665
Urocanic acid_Block1,1.616609344522573
Caproylglycine_Block1,1.6129187132890557
N-Glycosyl-L-asparagine_Block2,1.6094816273671064
Acetyl-L-carnitine_Block2,1.5488153557394488
Glycyl-4-hydroxyproline_Block2,1.508053864409158
dl-3-Indolelactic acid_Block1,1.4934594759869781
L-Histidine_Block2,1.4551229570063267
Acetylarginine_Block2,1.4496958359481888
Hypoxanthin_Block1,1.4362105539222696
5-Hydroxyindole-3-acetic acid_Block2,1.404383855276008
neuraminic acid_Block2,1.401919255990263
Deoxyguanosine diphosphate (dGDP)_Block1,1.3776363856672926
Isocitric acid_Block1,1.3761865600663983
trans-3-Indoleacrylic acid_Block2,1.3673569885653678
DL-Tryptophan_Block1,1.365804698607787
Cortisone_Block1,1.36365662102972
Υ-L-Glutamyl-L-glutamic acid_Block2,1.3505507490210518
L-gamma-Glutamyl-L-valine_Block2,1.3106750382678123
epsilon-(gamma-Glutamyl)-lysine_Block2,1.2082155509748937
palmitoleoyl ethanolamide_Block1,1.2004123464349206
"3beta,7alpha-Dihydroxy-5-cholestenoate_Block1",1.1843539857561622
N-Acetylneuraminic acid_Block2,1.173423452149005
Oleoylcarnitine_Block2,1.1620887947305447
Tetramethylurea_Block2,1.1403693255777105
Bilirubin_Block1,1.133622651238023
glu-thr_Block2,1.1240565204705422
Aceglutamide_Block2,1.1167384716404314
Palmitoleic acid_Block1,1.103215078127161
Glutarylcarnitine_Block2,1.0957881237901783
Taurine_Block2,1.0522873995184783
Androsterone sulfate_Block1,1.0468737711902996
3-oxopalmitic acid_Block1,1.0391427987704065
Adenosine 5'-monophosphate_Block2,1.0331217113549345
L-Valine_Block2,1.0283664667750307
Myristoleic acid_Block1,1.0184841026348685
Arachidonic acid_Block1,0.9740514150970796
L-(-)-Threonine_Block1,0.9668880536946428
Ala-Leu_Block2,0.9579327126010219
Palmitoylcarnitine_Block2,0.9554716381164734
D-(+)-Proline_Block2,0.9518571490624298
Platelet-activating factor_Block2,0.9435880085623689
Creatinine_Block2,0.9403066663210466
9-Decenoylcarnitine_Block2,0.9327124672211242
cis-5-Tetradecenoylcarnitine_Block2,0.9304901253500303
5a-Dihydrotestosterone sulfate_Block1,0.923937184083741
Glucosylgalactosyl hydroxylysine_Block2,0.9213049992326235
Sphingosine (d18:1)_Block2,0.9055510701817451
L(-)-Carnitine_Block2,0.9043463193864429
Glutamylalanine_Block2,0.889344741859948
Glu-Gly_Block2,0.8692357781884972
D-Tyrosine_Block1,0.8615303665604273
Decanoylcarnitine_Block2,0.8494583699054766
Val-lys_Block2,0.8418920875606462
b-Ala-Lys_Block2,0.8405808622143203
Testosterone sulfate_Block1,0.8280339088021309
Aspartylglucosamine_Block1,0.8272918874196524
C12-Carnitine_Block2,0.824956952149028
Hexanoylcarnitine_Block2,0.8185794416397242
β-Estradiol_Block1,0.8179995261225155
L-(+)-Alanine_Block1,0.8123191453150762
D(+)-Phenyllactic acid_Block1,0.7859674010849894
gamma-Glu-gln_Block2,0.7766188577464733
trans-2-Dodecenoylcarnitine_Block2,0.7736685440662024
g-Guanidinobutyrate_Block2,0.7681918221932598
Panthenol_Block2,0.7555022171340637
3-Methylglutarylcarnitine_Block2,0.7400105092571115
Homo-L-arginine_Block2,0.738411209719456
"3a,7a-Dihydroxycholanoic acid_Block1",0.7305258359739224
trans-4-Hydroxy-L-proline_Block2,0.7180513134453117
L-Phenylalanine_Block1,0.7110856779918576
L-gamma-Glutamyl-L-leucine_Block2,0.6959840453683984
DL-Homoserine_Block2,0.6950779596140145
3-Hydroxydodecanoic acid_Block2,0.6902657332426696
L-Glutamic acid_Block2,0.6897895700042831
Myrmicacin_Block2,0.6895108382205681
C8-Carnitine_Block2,0.6789868296598021
1-Methylhistidine_Block2,0.676161266186057
Taurohyocholic acid_Block1,0.6688776451743734
"N3,N4-Dimethyl-L-arginine_Block2",0.661464730218739
3-Hydroxyvaleric acid_Block1,0.6547657519070448
Betaine_Block2,0.6466521959183641
L-Aspartic acid_Block2,0.646068394848919
Pentahomoserine_Block2,0.6446035913289058
16alpha-hydroxydehydroepiandrosterone 3-sulfate_Block1,0.6382336605691377
D-Sphingosine 1-phosphate_Block2,0.6274009193554271
Taurochenodeoxycholic Acid_Block1,0.6251593504937885
Stachydrine_Block2,0.6202049455036684
DL-Lysine_Block2,0.6176910944823739
L-(+)-Citrulline_Block2,0.6079688653211004
Pseudouridine_Block1,0.5988294717948589
3-Indoxyl sulphate_Block1,0.5945504074222242
(R)-3-hydroxybutyrylcarnitine_Block2,0.5926282149214355
ethyl argininate_Block2,0.591586213244077
Glycocholic acid_Block1,0.5900408893707416
Deoxycholic Acid_Block1,0.5892464795243255
Pipecolic acid_Block2,0.5835874404333533
Glycochenodeoxycholic acid_Block1,0.5696554288290121
Homocitrulline_Block2,0.563678544546051
Hydroxyhexanoycarnitine_Block2,0.557625119332865
Acetylcholine_Block2,0.5547364550781857
3-hydroxyoctanoylcarnitine_Block2,0.5521940424840548
"9,10-Dihydroxystearic acid_Block2",0.5331766719051579
Cortisol_Block2,0.5307404813131029
Aminoadipic acid_Block1,0.525822636309554
N6-METHYLLYSINE_Block2,0.503216711399296
Gly-His_Block1,0.4989604940327004
"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide_Block2",0.4985540247332213
tyr-thr_Block1,0.49785945775417656
Uric Acid_Block1,0.4965622040658024
5-hydroxyisouric acid_Block1,0.4854194188930167
Propionylcarnitine_Block2,0.481939342820883
N-Tridecanoylglycine_Block2,0.47838197521297926
L-(-)-methionine_Block2,0.4724720744907172
Ac-Ala-OH_Block1,0.47224653752256895
7-Methylguanine_Block2,0.4657751176122892
Trihydroxycoprostanoic acid_Block2,0.46515975068651594
Creatine_Block2,0.46347611763225505
Leucylproline_Block2,0.4634610713877364
"N1,N12-Diacetylspermine_Block2",0.4599774070433803
Dihydrothymine_Block2,0.451712038517435
N-2-Acetyl-L-ornithine_Block1,0.4393899325425642
2-methylbutyrylcarnitine_Block2,0.43408188273175685
L-Serine_Block2,0.42753741501527587
L-Isoleucine_Block2,0.36657010737926626
N-Phenylacetylglutamine_Block1,0.3496699208301195
N-Acetylleucylleucine_Block2,0.3469262885679292
DL-Arginine_Block2,0.3467702857206608
D-(+)-Glucose_Block1,0.33815064381251453
"N6,N6-Dimethyllysine_Block2",0.3353644426558389
"5beta-Cholestane-3alpha,7alpha,12alpha,23,25-pentol_Block2",0.3322057250722431
Malondialdehyde_Block1,0.3105188248021805
L-Pyroglutamic Acid_Block2,0.30923263730268824
Taurodeoxycholic acid_Block2,0.30907873483396625
Glycodeoxycholic acid_Block2,0.2944884319933306
DL-Glutamine_Block2,0.28888360872429897
L-Methionine sulfoxide_Block2,0.2711237867962937
4-Pyridoxic acid_Block2,0.24338667874138836
"1,7-Dimethyluric acid_Block1",0.24288376549048088
Valylvaline_Block2,0.23349824663834157
