Feature,Mean_Gini_Importance
Myristamide_Block2,0.1469958118601354
Linoleamide_Block1,0.1000755546651747
glu-ser_Block2,0.06465784969630141
L-Cystine_Block2,0.05883792881452397
L-Cysteinylglycine disulfide_Block2,0.04653904365940913
Cysteine-glutathione disulfide_Block2,0.03254021612427026
N-Glycosyl-L-asparagine_Block2,0.026265689674240544
Palmitic Acid_Block1,0.024668156744059037
Glycyl-4-hydroxyproline_Block2,0.02094725936326628
L-Histidine_Block2,0.019661875533379176
Oleic Acid_Block1,0.016960762958988927
neuraminic acid_Block2,0.016216293771271297
Acetylarginine_Block2,0.015722995796263566
Υ-L-Glutamyl-L-glutamic acid_Block2,0.01390137538323565
Oleoylcarnitine_Block2,0.013814676094287673
Acetyl-L-carnitine_Block2,0.012622568017094337
5-Hydroxyindole-3-acetic acid_Block2,0.011188410439713147
DL-Lactic Acid_Block1,0.009341352969934285
trans-3-Indoleacrylic acid_Block2,0.008970856934263445
"N3,N4-Dimethyl-L-arginine_Block2",0.008595219028386595
5-Hydroxy-DL-tryptophan_Block1,0.008438552390139293
L-gamma-Glutamyl-L-valine_Block2,0.008203782149657843
Hypoxanthin_Block1,0.00767396920158653
L-Valine_Block2,0.007559194905715751
4-Hydroxybutyric acid (GHB)_Block1,0.007344655316978482
Adenosine 5'-monophosphate_Block2,0.0071309074503830006
glu-thr_Block2,0.0070984493440128344
palmitoleoyl ethanolamide_Block1,0.007007973829966281
Cortisone_Block1,0.00586376861598874
Urocanic acid_Block1,0.005839897750946044
Glu-Gly_Block2,0.0058292021138344466
DL-Tryptophan_Block1,0.005661586705730895
epsilon-(gamma-Glutamyl)-lysine_Block2,0.005647377274047755
Taurine_Block2,0.005095641025390528
Isocitric acid_Block1,0.004915397537757225
"3beta,7alpha-Dihydroxy-5-cholestenoate_Block1",0.0047355424038564835
Caproylglycine_Block1,0.00457930993643156
Deoxyguanosine diphosphate (dGDP)_Block1,0.00453290430574438
N-Acetylneuraminic acid_Block2,0.004396984382659914
dl-3-Indolelactic acid_Block1,0.004345128197932068
D-(+)-Proline_Block2,0.0042766014809575295
Arachidonic acid_Block1,0.004145622688953509
3-oxopalmitic acid_Block1,0.0038712102198609558
Palmitoleic acid_Block1,0.0037107256569574526
Tetramethylurea_Block2,0.003658034046587132
Platelet-activating factor_Block2,0.0031611625514833585
β-Estradiol_Block1,0.003149980405216582
1-Methylhistidine_Block2,0.003114835406263864
Hexanoylcarnitine_Block2,0.003100922337941839
L(-)-Carnitine_Block2,0.002956807148155978
Aminoadipic acid_Block1,0.002878973627352828
Pipecolic acid_Block2,0.002860516506672923
Glutamylalanine_Block2,0.0027893245244216365
Aceglutamide_Block2,0.0027667324787493466
Ac-Ala-OH_Block1,0.002764745678799003
DL-Homoserine_Block2,0.002668317856380191
Trihydroxycoprostanoic acid_Block2,0.002616851714157971
b-Ala-Lys_Block2,0.0024452549030946923
3-Indoxyl sulphate_Block1,0.0024382786061553792
Val-lys_Block2,0.002408302085614224
3-hydroxyoctanoylcarnitine_Block2,0.0023990973515415166
Panthenol_Block2,0.0023841171979305125
Bilirubin_Block1,0.002324475843582567
Stachydrine_Block2,0.002312715615459643
trans-4-Hydroxy-L-proline_Block2,0.0022971927645662866
Glutarylcarnitine_Block2,0.0022960976852150414
Pentahomoserine_Block2,0.0022762685533399734
Leucylproline_Block2,0.0022695342445076656
L-Glutamic acid_Block2,0.0022337904779050266
"N1,N12-Diacetylspermine_Block2",0.0022100317813003797
7-Methylguanine_Block2,0.002205065961001716
3-Methylglutarylcarnitine_Block2,0.002201942386913555
Ala-Leu_Block2,0.002160076110630838
5a-Dihydrotestosterone sulfate_Block1,0.0021331332446745594
L-(-)-Threonine_Block1,0.00209370060677336
Androsterone sulfate_Block1,0.002077296528338918
Myristoleic acid_Block1,0.002056102419625884
DL-Arginine_Block2,0.0020117440717265303
L-gamma-Glutamyl-L-leucine_Block2,0.001885660317959287
